test	p-value
NonOverlappingTemplate	0.000162
NonOverlappingTemplate	0.226129
NonOverlappingTemplate	0.427082
NonOverlappingTemplate	0.000037
NonOverlappingTemplate	0.000211
NonOverlappingTemplate	0.526699
NonOverlappingTemplate	0.178278
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.012816
NonOverlappingTemplate	0.837525
NonOverlappingTemplate	0.000052
NonOverlappingTemplate	0.000009
NonOverlappingTemplate	0.594782
NonOverlappingTemplate	0.916220
NonOverlappingTemplate	0.797447
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.454541
NonOverlappingTemplate	0.005490
NonOverlappingTemplate	0.029613
NonOverlappingTemplate	0.022503
NonOverlappingTemplate	0.016169
NonOverlappingTemplate	0.098308
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.109747
NonOverlappingTemplate	0.066882
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.139036
NonOverlappingTemplate	0.189397
NonOverlappingTemplate	0.519288
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.862344
NonOverlappingTemplate	0.000157
NonOverlappingTemplate	0.879806
NonOverlappingTemplate	0.040694
NonOverlappingTemplate	0.005794
NonOverlappingTemplate	0.299251
NonOverlappingTemplate	0.564259
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000026
NonOverlappingTemplate	0.142002
NonOverlappingTemplate	0.350485
NonOverlappingTemplate	0.413695
NonOverlappingTemplate	0.017461
NonOverlappingTemplate	0.001879
NonOverlappingTemplate	0.687108
NonOverlappingTemplate	0.000003
NonOverlappingTemplate	0.005490
NonOverlappingTemplate	0.139036
NonOverlappingTemplate	0.407091
NonOverlappingTemplate	0.911413
NonOverlappingTemplate	0.004795
NonOverlappingTemplate	0.534146
NonOverlappingTemplate	0.026154
NonOverlappingTemplate	0.080336
NonOverlappingTemplate	0.268170
NonOverlappingTemplate	0.288616
NonOverlappingTemplate	0.065351
NonOverlappingTemplate	0.075030
NonOverlappingTemplate	0.024880
NonOverlappingTemplate	0.381292
NonOverlappingTemplate	0.490050
NonOverlappingTemplate	0.181924
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.321342
NonOverlappingTemplate	0.230533
NonOverlappingTemplate	0.004667
NonOverlappingTemplate	0.023664
NonOverlappingTemplate	0.114637
NonOverlappingTemplate	0.268170
NonOverlappingTemplate	0.136123
NonOverlappingTemplate	0.059539
NonOverlappingTemplate	0.008201
NonOverlappingTemplate	0.321342
NonOverlappingTemplate	0.000205
NonOverlappingTemplate	0.811148
NonOverlappingTemplate	0.014969
NonOverlappingTemplate	0.026154
NonOverlappingTemplate	0.100508
NonOverlappingTemplate	0.679452
NonOverlappingTemplate	0.400548
NonOverlappingTemplate	0.000804
NonOverlappingTemplate	0.002221
NonOverlappingTemplate	0.145021
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.007572
NonOverlappingTemplate	0.044807
NonOverlappingTemplate	0.534146
NonOverlappingTemplate	0.040694
NonOverlappingTemplate	0.050485
NonOverlappingTemplate	0.068445
NonOverlappingTemplate	0.025510
NonOverlappingTemplate	0.783443
NonOverlappingTemplate	0.368773
NonOverlappingTemplate	0.037841
NonOverlappingTemplate	0.288616
NonOverlappingTemplate	0.026814
NonOverlappingTemplate	0.002043
NonOverlappingTemplate	0.213309
NonOverlappingTemplate	0.315717
NonOverlappingTemplate	0.133262
NonOverlappingTemplate	0.189397
NonOverlappingTemplate	0.004795
NonOverlappingTemplate	0.045894
NonOverlappingTemplate	0.068445
NonOverlappingTemplate	0.433862
NonOverlappingTemplate	0.394066
NonOverlappingTemplate	0.239540
NonOverlappingTemplate	0.000002
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.087929
NonOverlappingTemplate	0.879806
NonOverlappingTemplate	0.091958
NonOverlappingTemplate	0.000124
NonOverlappingTemplate	0.362611
NonOverlappingTemplate	0.011548
NonOverlappingTemplate	0.332797
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.181924
NonOverlappingTemplate	0.694743
NonOverlappingTemplate	0.304671
NonOverlappingTemplate	0.000402
NonOverlappingTemplate	0.002348
NonOverlappingTemplate	0.082177
NonOverlappingTemplate	0.000001
NonOverlappingTemplate	0.804337
NonOverlappingTemplate	0.230533
NonOverlappingTemplate	0.008201
NonOverlappingTemplate	0.193226
NonOverlappingTemplate	0.006451
NonOverlappingTemplate	0.694743
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.901394
NonOverlappingTemplate	0.253551
NonOverlappingTemplate	0.504585
NonOverlappingTemplate	0.002414
NonOverlappingTemplate	0.000101
NonOverlappingTemplate	0.375000
NonOverlappingTemplate	0.344522
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.400548
NonOverlappingTemplate	0.213309
NonOverlappingTemplate	0.338626
NonOverlappingTemplate	0.000177
NonOverlappingTemplate	0.017912
NonOverlappingTemplate	0.000414
NonOverlappingTemplate	0.185630
