test	p-value
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	0.000000
