test	p-value
NonOverlappingTemplate	0.616305
NonOverlappingTemplate	0.108791
NonOverlappingTemplate	0.816537
NonOverlappingTemplate	0.419021
NonOverlappingTemplate	0.035174
NonOverlappingTemplate	0.153763
NonOverlappingTemplate	0.657933
NonOverlappingTemplate	0.883171
NonOverlappingTemplate	0.289667
NonOverlappingTemplate	0.534146
NonOverlappingTemplate	0.911413
NonOverlappingTemplate	0.191687
NonOverlappingTemplate	0.494392
NonOverlappingTemplate	0.779188
NonOverlappingTemplate	0.816537
NonOverlappingTemplate	0.699313
NonOverlappingTemplate	0.383827
NonOverlappingTemplate	0.262249
NonOverlappingTemplate	0.971699
NonOverlappingTemplate	0.574903
NonOverlappingTemplate	0.816537
NonOverlappingTemplate	0.122325
NonOverlappingTemplate	0.153763
NonOverlappingTemplate	0.739918
NonOverlappingTemplate	0.137282
NonOverlappingTemplate	0.739918
NonOverlappingTemplate	0.494392
NonOverlappingTemplate	0.085587
NonOverlappingTemplate	0.350485
NonOverlappingTemplate	0.699313
NonOverlappingTemplate	0.262249
NonOverlappingTemplate	0.289667
NonOverlappingTemplate	0.574903
NonOverlappingTemplate	0.494392
NonOverlappingTemplate	0.494392
NonOverlappingTemplate	0.739918
NonOverlappingTemplate	0.383827
NonOverlappingTemplate	0.816537
NonOverlappingTemplate	0.350485
NonOverlappingTemplate	0.262249
NonOverlappingTemplate	0.935716
NonOverlappingTemplate	0.289667
NonOverlappingTemplate	0.779188
NonOverlappingTemplate	0.289667
NonOverlappingTemplate	0.534146
NonOverlappingTemplate	0.419021
NonOverlappingTemplate	0.191687
NonOverlappingTemplate	0.883171
NonOverlappingTemplate	0.289667
NonOverlappingTemplate	0.494392
NonOverlappingTemplate	0.236810
NonOverlappingTemplate	0.494392
NonOverlappingTemplate	0.030806
NonOverlappingTemplate	0.419021
NonOverlappingTemplate	0.350485
NonOverlappingTemplate	0.383827
NonOverlappingTemplate	0.883171
NonOverlappingTemplate	0.191687
NonOverlappingTemplate	0.816537
NonOverlappingTemplate	0.262249
NonOverlappingTemplate	0.153763
NonOverlappingTemplate	0.574903
NonOverlappingTemplate	0.455937
NonOverlappingTemplate	0.534146
NonOverlappingTemplate	0.171867
NonOverlappingTemplate	0.383827
NonOverlappingTemplate	0.262249
NonOverlappingTemplate	0.883171
NonOverlappingTemplate	0.153763
NonOverlappingTemplate	0.350485
NonOverlappingTemplate	0.494392
NonOverlappingTemplate	0.096578
NonOverlappingTemplate	0.419021
NonOverlappingTemplate	0.494392
NonOverlappingTemplate	0.534146
NonOverlappingTemplate	0.657933
NonOverlappingTemplate	0.262249
NonOverlappingTemplate	0.657933
NonOverlappingTemplate	0.383827
NonOverlappingTemplate	0.236810
NonOverlappingTemplate	0.699313
NonOverlappingTemplate	0.739918
NonOverlappingTemplate	0.066882
NonOverlappingTemplate	0.494392
NonOverlappingTemplate	0.851383
NonOverlappingTemplate	0.122325
NonOverlappingTemplate	0.935716
NonOverlappingTemplate	0.350485
NonOverlappingTemplate	0.383827
NonOverlappingTemplate	0.883171
NonOverlappingTemplate	0.137282
NonOverlappingTemplate	0.153763
NonOverlappingTemplate	0.213309
NonOverlappingTemplate	0.935716
NonOverlappingTemplate	0.236810
NonOverlappingTemplate	0.017912
NonOverlappingTemplate	0.534146
NonOverlappingTemplate	0.350485
NonOverlappingTemplate	0.911413
NonOverlappingTemplate	0.739918
NonOverlappingTemplate	0.816537
NonOverlappingTemplate	0.213309
NonOverlappingTemplate	0.983453
NonOverlappingTemplate	0.779188
NonOverlappingTemplate	0.213309
NonOverlappingTemplate	0.122325
NonOverlappingTemplate	0.008879
NonOverlappingTemplate	0.911413
NonOverlappingTemplate	0.494392
NonOverlappingTemplate	0.816537
NonOverlappingTemplate	0.883171
NonOverlappingTemplate	0.075719
NonOverlappingTemplate	0.137282
NonOverlappingTemplate	0.051942
NonOverlappingTemplate	0.883171
NonOverlappingTemplate	0.003201
NonOverlappingTemplate	0.213309
NonOverlappingTemplate	0.574903
NonOverlappingTemplate	0.383827
NonOverlappingTemplate	0.383827
NonOverlappingTemplate	0.058984
NonOverlappingTemplate	0.616305
NonOverlappingTemplate	0.171867
NonOverlappingTemplate	0.534146
NonOverlappingTemplate	0.122325
NonOverlappingTemplate	0.494392
NonOverlappingTemplate	0.058984
NonOverlappingTemplate	0.699313
NonOverlappingTemplate	0.171867
NonOverlappingTemplate	0.699313
NonOverlappingTemplate	0.616305
NonOverlappingTemplate	0.455937
NonOverlappingTemplate	0.816537
NonOverlappingTemplate	0.699313
NonOverlappingTemplate	0.023545
NonOverlappingTemplate	0.779188
NonOverlappingTemplate	0.319084
NonOverlappingTemplate	0.419021
NonOverlappingTemplate	0.534146
NonOverlappingTemplate	0.122325
NonOverlappingTemplate	0.883171
NonOverlappingTemplate	0.383827
NonOverlappingTemplate	0.191687
NonOverlappingTemplate	0.137282
NonOverlappingTemplate	0.383827
NonOverlappingTemplate	0.122325
NonOverlappingTemplate	0.816537
NonOverlappingTemplate	0.616305
