test	p-value
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
