test	p-value
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.739918
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000014
NonOverlappingTemplate	0.665490
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.571166
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.809915
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000954
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.079183
NonOverlappingTemplate	0.793022
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.213309
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.775688
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.059665
NonOverlappingTemplate	0.088469
NonOverlappingTemplate	0.000185
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.809915
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.019068
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000040
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.002342
NonOverlappingTemplate	0.462821
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000001
NonOverlappingTemplate	0.104202
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.044612
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.044612
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
NonOverlappingTemplate	0.000000
