test	p-value
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	0.000000
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
RandomExcursionsVariant	----
